id,x,y,z
1.0,6.46689,-6.73305,-3.51985
2.0,7.36336,-6.86491,-3.86259
3.0,7.74149,-6.0317,-3.44871
4.0,6.98798,-5.49629,-3.17077
5.0,6.98396,-4.50914,-3.44926
6.0,6.4241,-3.72097,-3.98188
7.0,5.9443,-4.70352,-3.93084
8.0,4.98712,-4.64548,-3.83131
9.0,4.34831,-4.3452,-3.20328
10.0,5.21504,-4.51907,-2.60266
11.0,4.98317,-4.47898,-1.61185
12.0,4.17799,-4.76495,-1.05333
13.0,3.77291,-5.47455,-0.47882
14.0,3.31462,-6.38375,-0.84517
15.0,3.85495,-7.23266,-0.6727
16.0,3.89777,-8.28944,-0.79912
17.0,4.80462,-8.83493,-1.02328
18.0,4.90551,-9.0293,0.01054
19.0,4.56562,-9.93397,0.24488
20.0,3.88788,-10.52089,-0.40127
21.0,3.44746,-11.27344,-1.00976
22.0,3.70953,-11.97393,-1.73107
23.0,3.10801,-12.48162,-1.11211
24.0,2.43231,-12.36387,-1.85757
25.0,2.41585,-13.11754,-2.495
26.0,1.96965,-13.99276,-2.3862
27.0,1.25855,-13.86784,-3.14832
28.0,1.25813,-13.96302,-4.12669
29.0,1.35682,-14.42601,-5.06155
30.0,1.2017,-15.36038,-5.41683
31.0,1.53074,-15.59296,-6.34097
32.0,2.06054,-15.39479,-7.2279
33.0,2.48399,-16.02284,-7.83832
34.0,3.06301,-15.8903,-8.71574
35.0,2.79713,-16.64183,-9.26945
36.0,2.40839,-17.43795,-9.92878
37.0,1.99403,-17.68866,-10.75909
38.0,2.09721,-18.34214,-11.52836
39.0,1.5786,-18.89767,-12.2033
40.0,1.00834,-19.58183,-12.63313
41.0,0.42136,-19.76425,-13.3928
42.0,-0.39315,-19.93339,-13.96357
43.0,-0.50676,-20.8194,-14.51619
44.0,-0.22846,-21.06362,-15.50903
45.0,-0.23585,-22.14145,-15.47117
46.0,-1.0331,-22.24459,-16.1891
47.0,-1.26315,-22.7877,-17.15836
48.0,-1.30593,-23.41294,-17.92647
49.0,-0.93704,-23.99236,-18.59659
50.0,-0.39105,-24.25107,-19.41802
51.0,-0.97241,-24.64058,-20.14274
52.0,-1.55537,-25.40361,-20.44099
53.0,-1.78364,-26.04406,-21.08278
54.0,-1.69996,-26.65963,-21.82
55.0,-2.28549,-27.47768,-21.54163
56.0,-2.6083,-26.38679,-21.78974
57.0,-3.33463,-25.86596,-22.25843
58.0,-2.33625,-25.53829,-22.16447
59.0,-1.87525,-25.37641,-22.95942
60.0,-1.12364,-25.64478,-22.39276
61.0,-1.31915,-24.80042,-22.83602
62.0,-2.02891,-24.42187,-23.39494
63.0,-1.99884,-24.64266,-24.35427
64.0,-1.11748,-25.19472,-23.90929
65.0,-0.26361,-25.6172,-24.3723
66.0,-0.01783,-24.80339,-23.71997
67.0,0.22413,-24.06044,-23.05636
68.0,0.87846,-23.79849,-22.27697
69.0,1.22152,-24.77818,-22.49281
70.0,1.93828,-25.37278,-21.96892
71.0,1.42468,-26.13201,-22.09264
72.0,1.14444,-26.56899,-21.223
73.0,1.88764,-27.29562,-21.17502
74.0,2.15301,-27.08882,-22.12443
75.0,1.2111,-27.36185,-22.33289
76.0,0.53215,-27.93081,-22.55333
77.0,-0.49474,-27.681,-22.66407
78.0,-1.14833,-27.59699,-21.94165
79.0,-0.59976,-27.08638,-22.47521
80.0,-0.48377,-26.68784,-23.33944
81.0,-0.92606,-26.39847,-24.28722
82.0,-1.10693,-26.22936,-23.34249
83.0,-1.39221,-26.13343,-24.39248
84.0,-1.18738,-26.2809,-23.45683
85.0,-1.15141,-26.39505,-24.44717
86.0,-1.97746,-26.20903,-24.07001
87.0,-1.27837,-26.91005,-24.32422
88.0,-1.42228,-27.90775,-23.96009
89.0,-2.01585,-27.9914,-24.77542
90.0,-1.88504,-26.9979,-24.64874
91.0,-1.10262,-27.62758,-24.1836
92.0,-0.40286,-28.42895,-23.88827
93.0,-0.1664,-29.06973,-24.64651
94.0,-0.61343,-28.24877,-24.90535
95.0,-0.92124,-27.45755,-24.24338
96.0,-1.57483,-28.17111,-24.38513
97.0,-1.23978,-27.25228,-24.16437
98.0,-1.46947,-27.47792,-23.15088
99.0,-1.59499,-28.27458,-23.76556
100.0,-1.95652,-27.75008,-22.93845
101.0,-1.5604,-26.84073,-23.22197
102.0,-2.24675,-27.50907,-23.72214
103.0,-2.62696,-27.56978,-22.76902
104.0,-3.02823,-28.26817,-23.28666
105.0,-2.53966,-28.39917,-24.06807
106.0,-2.88152,-28.47492,-25.02166
107.0,-2.80184,-29.42318,-24.9295
108.0,-2.44588,-28.5299,-24.53804
109.0,-1.95592,-28.25176,-23.70249
110.0,-1.52638,-27.55795,-23.17627
111.0,-1.78155,-26.30785,-23.43505
112.0,-2.28174,-25.88061,-24.15976
113.0,-2.22639,-26.01453,-25.11568
114.0,-3.16444,-25.90941,-24.85566
115.0,-2.92837,-26.31191,-23.96096
116.0,-2.20071,-25.81019,-23.49817
117.0,-2.09506,-26.2121,-24.40737
118.0,-3.09452,-25.89101,-24.47244
119.0,-3.84964,-26.11632,-23.92648
120.0,-3.83707,-26.76431,-23.14146
121.0,-3.80754,-27.80574,-23.24965
122.0,-2.99365,-27.94484,-22.62853
123.0,-3.13738,-27.01111,-22.87128
124.0,-2.2646,-26.9679,-22.5923
125.0,-2.79063,-26.95509,-23.43285
126.0,-3.18604,-26.62191,-22.60889
127.0,-2.37044,-26.55391,-23.22766
128.0,-1.69696,-27.18428,-22.82666
129.0,-1.30973,-27.57836,-23.64316
130.0,-1.79137,-26.89548,-22.86259
131.0,-2.71941,-27.26934,-22.52145
132.0,-2.90025,-28.21017,-22.86421
133.0,-2.47504,-28.69832,-23.68026
134.0,-3.30263,-28.22168,-23.098
135.0,-3.77177,-27.28029,-23.20775
136.0,-2.86202,-27.71924,-22.89532
137.0,-2.29616,-28.47451,-23.30971
138.0,-3.29106,-28.58302,-23.53377
139.0,-2.3838,-28.38382,-23.1256
140.0,-2.86206,-28.74772,-23.97214
141.0,-3.47156,-28.11108,-23.44013
142.0,-3.5865,-27.43679,-22.74665
143.0,-2.62199,-27.58279,-23.09901
144.0,-1.88627,-27.11016,-23.76291
145.0,-1.71124,-28.12829,-23.40196
146.0,-2.2404,-27.5312,-22.81526
147.0,-2.06717,-26.52889,-22.74278
148.0,-2.77572,-26.16424,-23.26017
149.0,-3.21991,-27.05438,-22.70809
150.0,-2.34254,-26.47817,-22.8757
151.0,-2.84217,-27.3173,-22.60226
152.0,-2.25094,-28.06617,-22.97269
153.0,-1.28735,-27.46032,-23.30396
154.0,-1.15659,-27.22648,-24.23273
155.0,-1.8886,-27.62529,-24.88707
156.0,-1.98339,-26.67872,-25.16455
157.0,-2.5642,-25.87574,-24.79678
158.0,-2.14436,-26.50659,-25.39707
159.0,-2.39292,-26.05044,-24.45207
160.0,-3.06623,-25.94712,-23.76659
161.0,-3.02924,-25.8172,-24.77236
162.0,-2.14396,-25.67308,-24.22933
163.0,-2.22195,-26.04791,-23.28959
164.0,-3.1123,-26.65736,-23.18105
165.0,-2.44045,-25.99478,-23.2826
166.0,-3.03295,-26.68272,-22.88181
167.0,-3.216,-25.83831,-23.24614
168.0,-2.45435,-25.49823,-23.8366
169.0,-3.33849,-25.73136,-24.20576
170.0,-3.49212,-26.74642,-23.99541
171.0,-3.89447,-26.33499,-24.86469
172.0,-3.50085,-26.06317,-23.83017
173.0,-2.92205,-25.62941,-24.4205
174.0,-2.47132,-25.61982,-23.49385
175.0,-2.48972,-26.44691,-22.85289
176.0,-3.36676,-26.12035,-22.72019
177.0,-4.00353,-26.43918,-23.52713
178.0,-3.59761,-26.07784,-24.46806
179.0,-3.23019,-26.54033,-25.21654
180.0,-2.47316,-27.41767,-25.4735
181.0,-3.48709,-27.5378,-25.56099
182.0,-3.29437,-26.50267,-25.09425
183.0,-3.83884,-27.23971,-25.09123
184.0,-3.00759,-27.02657,-25.57544
185.0,-2.57417,-27.65426,-25.00307
186.0,-3.33638,-27.41254,-25.53198
187.0,-3.22556,-28.22062,-25.10085
188.0,-3.5839,-27.54517,-24.50824
189.0,-4.29759,-26.95694,-24.85283
190.0,-4.23426,-27.93932,-24.51623
191.0,-3.99365,-27.04821,-24.86357
192.0,-4.03857,-26.08486,-24.58078
193.0,-4.38456,-26.70375,-23.91578
194.0,-3.90706,-26.91715,-23.09914
195.0,-3.26242,-26.12657,-23.16682
196.0,-4.00994,-26.82502,-22.95395
197.0,-3.80579,-25.99783,-23.47949
198.0,-3.33131,-25.59762,-24.22471
199.0,-3.55092,-26.30691,-23.47321
200.0,-4.18694,-27.06291,-23.72278
201.0,-3.72054,-27.12006,-22.87662
202.0,-3.83154,-27.8264,-23.58911
203.0,-3.25828,-28.57948,-24.03389
204.0,-3.62415,-28.1536,-23.29794
205.0,-4.35814,-27.7399,-23.95421
206.0,-4.0342,-27.60581,-23.09442
207.0,-4.42235,-27.65665,-23.95923
208.0,-3.65261,-28.42017,-24.02322
209.0,-2.89559,-28.7499,-24.50061
210.0,-3.49192,-28.05169,-25.19793
211.0,-3.9142,-27.7305,-24.31724
212.0,-4.25791,-27.31708,-23.43588
213.0,-4.05589,-28.09948,-23.99879
214.0,-3.7879,-27.47912,-24.71182
215.0,-4.02016,-26.58337,-24.22788
216.0,-3.42354,-26.87447,-24.99895
217.0,-4.2151,-27.06744,-24.42828
218.0,-3.55029,-27.35982,-25.13788
219.0,-2.86626,-26.6743,-25.33391
220.0,-1.94678,-27.0609,-25.03935
221.0,-1.75048,-27.12124,-23.96548
222.0,-1.79727,-27.35466,-24.84549
223.0,-2.39073,-28.1055,-24.99191
224.0,-2.7196,-28.73045,-24.10708
225.0,-2.13089,-28.1219,-23.51462
226.0,-3.05295,-28.45779,-23.77289
227.0,-2.9641,-28.35592,-24.83581
228.0,-2.5546,-28.6877,-23.97585
